rank,channel_info,influence_score,posts,followers,60_day_eng_rate,total_likes,avg_likes,new_post_avg_like,country
89,sunnyleone,84,4600,53400000,0.0057,3500000000,764000,301300,Other
90,ladygaga,83,3600,53200000,0.0102,5100000000,1400000,531600,United States
91,dishapatani,74,2100,53000000,0.0185,3400000000,1600000,971700,United States
92,sergioramos,87,2200,52800000,0.0106,2500000000,1100000,557900,Other
93,jbalvin,87,10000,52800000,0.0066,8800000000,878000,340500,Other
94,mosalah,22,840,52500000,0.0218,1500000000,1800000,1100000,Other
95,ayutingting92,85,10000,52400000,0.0011,1500000000,147300,56300,Indonesia
96,433,79,10300,51200000,0.0152,8900000000,863200,774200,Netherlands
97,hudabeauty,82,2400,50800000,0.0004,453600000,186400,16800,United States
98,adele,84,420,50700000,0.0382,2000000000,4700000,1900000,United States
99,michelleobama,85,600,50700000,0.0122,421700000,700500,611200,Other
100,kritisanon,76,2700,50200000,0.0121,2400000000,897200,604400,India
101,jamesrodriguez10,86,1100,49900000,0.0075,1500000000,1400000,363900,Colombia
102,krisjenner,80,6400,49700000,0.0091,2300000000,356800,452900,United States
103,thv,83,60,49300000,0.258,987400000,15400000,12600000,Other
104,lelepons,81,2500,49200000,0.0355,6100000000,2400000,1700000,United States
105,charlidamelio,80,150,49100000,0.0328,654400000,4200000,1600000,Other
106,gucci,86,8900,49000000,0.0015,1000000000,115100,72400,Italy
107,prillylatuconsina96,84,6500,48900000,0.0027,2400000000,372400,131800,Indonesia
108,louisvuitton,82,6500,48700000,0.0008,824000000,127500,40500,France
109,paulodybala,85,1300,48300000,0.0288,2300000000,1800000,1400000,Other
110,blackpinkofficial,85,1400,48200000,0.0277,3000000000,2100000,1300000,Other
111,dovecameron,85,170,48200000,0.0175,283000000,1600000,841400,United States
112,garethbale11,86,980,48100000,0.0143,753100000,763000,681300,Other
113,jokowi,85,3500,47700000,0.0041,1600000000,452600,189600,Other
114,nusr_et,81,2300,47300000,0.0029,1700000000,728200,133000,United Arab Emirates
115,harrystyles,57,590,46900000,0.0638,2800000000,4700000,2900000,United States
116,haileybieber,85,2100,46900000,0.0347,4200000000,2000000,1600000,Other
117,vanessahudgens,84,4200,46800000,0.0063,2700000000,633900,292900,United States
118,5-Minute Crafts GIRLY,85,10000,46500000,0.0003,1600000000,157000,12400,United States
119,zayn,82,160,46500000,0.0881,773500000,4700000,4000000,United States
120,larissamanoela,85,5200,46500000,0.0057,3000000000,579600,259400,Brazil
121,travisscott,78,3200,46200000,0.0571,9600000000,3000000,2600000,United States
122,thenotoriousmma,82,3200,45900000,0.0069,3500000000,1100000,311500,United States
123,daddyyankee,80,20,45900000,0.01,18300000,652500,455300,Puerto Rico
124,natgeotravel,82,16900,45800000,0.0012,3200000000,189900,52800,United States
125,nikefootball,85,1800,45400000,0.0044,784000000,431200,199800,United States
126,stephencurry30,84,1100,45400000,0.0276,1200000000,1100000,1200000,Other
127,vancityreynolds,86,680,44800000,0.0261,925700000,1400000,1200000,Other
128,maisa,42,1500,44500000,0.0067,820100000,553000,294100,Brazil
